Attrition,Business Travel,CF_age band,CF_attrition label,Department,Education Field,emp no,Employee Number,Gender,Job Role,Marital Status,Over Time,Over18,Training Times Last Year,Age,CF_current Employee,Daily Rate,Distance From Home,Education,Employee Count,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
No,Travel_Frequently,26-30,Ex-Employees,Sales,Medical,E0239,239,Female,HR Manager,Married,No,Yes,2,50,Yes,1472,27,3,1,2,50,4,4,3,8669,27836,2,14,4,4,80,2,3,4,5,9,2,1
Yes,Travel_Rarely,41-45,Current Employees,Sales,Other,E0240,240,Female,Research Scientist,Married,Yes,Yes,1,40,Yes,1489,2,1,1,1,30,2,1,1,5047,27151,3,18,2,4,80,0,6,3,3,9,3,6
Yes,Travel_Rarely,41-45,Current Employees,R&D,Life Sciences,E0241,241,Female,Research Scientist,Single,Yes,Yes,3,50,Yes,1197,24,5,1,1,34,2,4,3,6813,23808,2,16,3,3,80,3,7,4,3,2,5,1
No,Travel_Rarely,36-40,Current Employees,R&D,Medical,E0242,242,Male,Sales Executive,Married,No,Yes,5,45,No,1461,15,1,1,1,38,3,1,2,5351,24190,3,20,1,3,80,3,12,2,3,2,3,9
Yes,Travel_Frequently,46-50,Ex-Employees,HR,Medical,E0243,243,Female,HR Manager,Divorced,No,Yes,5,44,No,1141,18,2,1,3,41,1,3,4,3657,21571,1,10,3,4,80,1,10,3,4,5,1,2
No,Travel_Frequently,46-50,Ex-Employees,Sales,Life Sciences,E0244,244,Male,Sales Executive,Single,Yes,Yes,2,48,Yes,1193,29,2,1,3,27,2,4,2,7006,24548,5,10,2,2,80,3,8,4,9,6,4,7
No,Travel_Frequently,26-30,Ex-Employees,R&D,Other,E0245,245,Male,HR Manager,Divorced,No,Yes,1,47,No,1249,30,5,1,4,45,3,1,3,6033,26653,5,17,2,2,80,1,12,3,10,7,3,1
No,Travel_Rarely,41-45,Ex-Employees,R&D,Other,E0246,246,Male,HR Manager,Married,Yes,Yes,1,45,Yes,1230,14,5,1,3,38,2,4,2,6114,22223,3,5,2,4,80,3,5,1,5,2,2,5
No,Travel_Frequently,41-45,Current Employees,Sales,Other,E0247,247,Male,Research Scientist,Single,No,Yes,1,49,No,1013,14,2,1,4,45,1,4,2,3936,20925,3,17,4,3,80,0,13,2,5,5,2,10
Yes,Travel_Frequently,31-35,Current Employees,HR,Life Sciences,E0248,248,Male,Research Scientist,Divorced,No,Yes,5,42,No,1058,26,2,1,1,21,2,4,4,9742,23620,5,13,1,4,80,3,7,1,8,9,3,6
Yes,Travel_Rarely,46-50,Ex-Employees,R&D,Life Sciences,E0249,249,Female,Research Scientist,Married,No,Yes,2,43,No,1168,3,1,1,2,29,1,4,4,3386,28379,4,14,3,4,80,0,17,1,5,2,1,10
Yes,Travel_Rarely,36-40,Ex-Employees,HR,Medical,E0250,250,Female,Research Scientist,Single,Yes,Yes,5,29,Yes,1456,14,2,1,3,21,4,2,2,7370,24004,3,20,2,4,80,1,2,1,9,9,1,3
No,Travel_Frequently,41-45,Current Employees,R&D,Life Sciences,E0251,251,Male,Sales Executive,Single,No,Yes,1,44,No,1484,27,5,1,4,28,3,2,1,8186,22136,1,17,4,4,80,2,19,2,10,6,1,6
No,Travel_Frequently,36-40,Ex-Employees,HR,Medical,E0252,252,Male,Sales Executive,Divorced,Yes,Yes,1,26,Yes,1123,2,2,1,2,25,4,5,3,4281,26025,5,14,4,1,80,3,6,1,2,8,0,10
No,Travel_Frequently,36-40,Ex-Employees,R&D,Life Sciences,E0253,253,Male,HR Manager,Divorced,Yes,Yes,2,26,Yes,1391,18,1,1,1,34,3,1,3,4874,29604,3,14,4,2,80,0,4,1,8,1,4,3
Yes,Travel_Frequently,31-35,Ex-Employees,R&D,Other,E0254,254,Female,Research Scientist,Married,No,Yes,1,31,No,1151,25,4,1,3,32,2,5,4,9034,28655,3,13,2,1,80,3,18,2,10,5,2,8
No,Travel_Rarely,41-45,Ex-Employees,R&D,Other,E0255,255,Male,HR Manager,Married,Yes,Yes,5,46,Yes,1331,25,4,1,1,47,3,2,4,3876,25257,5,9,2,3,80,3,11,4,7,1,5,10
No,Travel_Frequently,36-40,Current Employees,HR,Life Sciences,E0256,256,Female,Sales Executive,Single,No,Yes,2,34,Yes,1068,18,1,1,3,42,3,2,2,8506,22229,1,9,3,4,80,1,4,3,6,5,1,3
No,Travel_Frequently,41-45,Ex-Employees,Sales,Life Sciences,E0257,257,Male,Research Scientist,Single,No,Yes,5,37,Yes,1177,26,1,1,1,23,1,5,4,8268,23931,4,9,3,4,80,3,10,2,10,2,4,4
No,Travel_Rarely,31-35,Ex-Employees,HR,Other,E0258,258,Female,Research Scientist,Married,Yes,Yes,4,31,No,1066,22,5,1,4,47,1,1,1,8620,26931,5,19,1,2,80,2,13,2,1,4,5,7
Yes,Travel_Rarely,26-30,Current Employees,HR,Other,E0259,259,Male,Research Scientist,Divorced,No,Yes,4,34,No,1216,12,2,1,2,44,2,5,1,5587,25413,1,16,4,3,80,2,19,3,6,4,0,4
Yes,Travel_Frequently,26-30,Current Employees,HR,Life Sciences,E0260,260,Male,Sales Executive,Divorced,No,Yes,5,42,Yes,1188,22,2,1,4,39,1,5,1,7600,21899,4,17,2,4,80,3,19,2,6,10,5,4
No,Travel_Frequently,26-30,Ex-Employees,R&D,Other,E0261,261,Male,HR Manager,Single,Yes,Yes,3,49,No,1445,17,2,1,2,35,4,1,4,3954,24411,5,10,3,2,80,0,8,3,6,9,5,4
No,Travel_Frequently,36-40,Ex-Employees,R&D,Life Sciences,E0262,262,Male,Research Scientist,Single,Yes,Yes,1,32,Yes,1479,16,2,1,4,44,3,5,3,7439,28252,5,6,1,4,80,2,13,4,9,5,3,3
Yes,Travel_Frequently,36-40,Current Employees,HR,Life Sciences,E0263,263,Female,Research Scientist,Divorced,Yes,Yes,4,44,No,1304,14,5,1,3,31,2,3,4,5249,21840,3,13,1,4,80,1,1,3,7,8,2,10
Yes,Travel_Frequently,36-40,Ex-Employees,HR,Life Sciences,E0264,264,Male,HR Manager,Married,Yes,Yes,5,49,Yes,1302,21,2,1,4,39,4,4,3,3563,21279,2,12,2,3,80,3,9,3,3,1,0,5
Yes,Travel_Rarely,41-45,Current Employees,R&D,Life Sciences,E0265,265,Male,HR Manager,Single,No,Yes,2,31,No,1493,11,5,1,2,31,2,2,1,4492,20027,5,9,4,4,80,1,17,4,9,7,4,6
No,Travel_Rarely,46-50,Ex-Employees,Sales,Life Sciences,E0266,266,Female,HR Manager,Single,No,Yes,5,36,No,1120,5,1,1,4,24,1,4,3,3584,20466,3,8,3,1,80,1,17,4,9,7,5,2
No,Travel_Frequently,41-45,Ex-Employees,R&D,Life Sciences,E0267,267,Male,Research Scientist,Single,Yes,Yes,4,29,Yes,1064,30,1,1,2,38,2,2,1,7506,22309,4,19,4,3,80,1,19,4,5,4,3,4
Yes,Travel_Rarely,26-30,Current Employees,R&D,Medical,E0268,268,Male,Research Scientist,Single,Yes,Yes,1,47,No,1221,7,4,1,3,28,2,1,3,3375,29389,5,16,4,2,80,0,14,2,10,10,5,5
No,Travel_Frequently,46-50,Ex-Employees,HR,Life Sciences,E0269,269,Male,Research Scientist,Single,Yes,Yes,5,44,No,1105,9,1,1,1,24,4,4,1,5244,21156,5,12,3,3,80,0,18,3,10,7,5,4
No,Travel_Rarely,31-35,Current Employees,HR,Life Sciences,E0270,270,Male,HR Manager,Single,No,Yes,4,46,No,1477,17,4,1,3,23,2,2,4,8099,27621,4,19,1,1,80,2,9,1,2,3,0,2
No,Travel_Frequently,46-50,Ex-Employees,R&D,Medical,E0271,271,Male,Research Scientist,Divorced,Yes,Yes,5,26,No,1331,30,3,1,2,41,2,2,4,3895,21417,4,14,3,1,80,2,6,2,7,10,3,8
No,Travel_Frequently,31-35,Ex-Employees,HR,Other,E0272,272,Female,Sales Executive,Divorced,Yes,Yes,5,39,No,1025,4,3,1,2,35,3,2,4,3291,23105,3,16,4,1,80,1,17,3,5,10,5,5
No,Travel_Rarely,36-40,Current Employees,R&D,Life Sciences,E0273,273,Female,Research Scientist,Married,No,Yes,4,33,Yes,1207,15,3,1,1,37,1,3,3,5441,21367,1,5,1,4,80,2,19,1,5,2,4,6
Yes,Travel_Frequently,26-30,Current Employees,Sales,Life Sciences,E0274,274,Female,HR Manager,Divorced,No,Yes,3,42,No,1471,20,3,1,2,42,3,1,3,5442,28619,3,18,4,1,80,0,9,2,2,4,4,3
Yes,Travel_Frequently,36-40,Ex-Employees,HR,Medical,E0275,275,Male,Sales Executive,Divorced,No,Yes,2,29,No,1265,29,2,1,4,41,1,5,4,5072,29652,3,17,4,1,80,1,2,1,10,5,3,6
Yes,Travel_Frequently,41-45,Current Employees,Sales,Other,E0276,276,Male,HR Manager,Married,No,Yes,2,31,Yes,1195,15,1,1,3,47,3,4,4,3553,29735,2,20,3,4,80,0,4,1,4,9,1,5
No,Travel_Frequently,36-40,Ex-Employees,R&D,Life Sciences,E0277,277,Female,Research Scientist,Single,Yes,Yes,2,43,No,1427,4,2,1,3,22,4,1,3,8842,26829,4,17,1,4,80,1,12,1,7,1,5,7
Yes,Travel_Frequently,36-40,Ex-Employees,Sales,Life Sciences,E0278,278,Female,Sales Executive,Divorced,No,Yes,4,49,No,1327,4,5,1,4,47,1,4,2,4105,22214,2,5,1,2,80,0,17,2,1,4,2,10
No,Travel_Frequently,46-50,Ex-Employees,HR,Medical,E0279,279,Male,Research Scientist,Divorced,Yes,Yes,3,42,No,1124,2,2,1,2,27,4,3,4,8658,20920,1,16,1,2,80,3,12,4,1,7,1,5
Yes,Travel_Rarely,31-35,Current Employees,Sales,Other,E0280,280,Male,HR Manager,Married,Yes,Yes,1,46,Yes,1478,30,3,1,3,46,2,5,1,9691,23013,1,12,2,2,80,3,12,1,10,9,4,4
No,Travel_Rarely,26-30,Ex-Employees,HR,Other,E0281,281,Female,Research Scientist,Married,Yes,Yes,1,50,No,1497,10,3,1,1,20,1,5,1,6476,25708,3,16,2,3,80,0,3,2,2,6,1,6
No,Travel_Frequently,36-40,Current Employees,Sales,Other,E0282,282,Female,Research Scientist,Divorced,Yes,Yes,1,29,Yes,1266,6,2,1,3,20,3,2,1,8976,20212,5,9,4,1,80,1,13,1,2,3,1,7
Yes,Travel_Frequently,36-40,Ex-Employees,HR,Other,E0283,283,Male,HR Manager,Single,Yes,Yes,3,29,Yes,1144,30,4,1,1,28,3,4,4,8478,21790,4,8,4,2,80,0,10,1,6,2,5,7
Yes,Travel_Rarely,31-35,Current Employees,R&D,Medical,E0284,284,Male,HR Manager,Single,Yes,Yes,1,49,No,1194,20,2,1,2,46,4,4,2,5883,25900,1,13,4,2,80,1,6,2,2,7,1,10
Yes,Travel_Rarely,41-45,Current Employees,Sales,Medical,E0285,285,Female,Research Scientist,Married,Yes,Yes,4,50,No,1218,3,1,1,3,27,3,3,3,7086,23420,5,10,2,1,80,1,12,2,6,2,5,7
No,Travel_Rarely,41-45,Current Employees,Sales,Life Sciences,E0286,286,Male,HR Manager,Married,Yes,Yes,5,36,Yes,1290,19,5,1,4,46,4,2,3,8791,20547,5,12,4,3,80,3,1,2,3,6,4,9
Yes,Travel_Rarely,46-50,Ex-Employees,Sales,Life Sciences,E0287,287,Female,Research Scientist,Single,No,Yes,1,47,No,1307,15,1,1,3,48,2,2,2,9649,20294,2,19,2,4,80,0,3,2,1,3,1,5
Yes,Travel_Frequently,31-35,Current Employees,HR,Medical,E0288,288,Male,Research Scientist,Divorced,No,Yes,5,46,Yes,1052,8,5,1,4,35,3,4,3,9174,21972,1,7,3,1,80,2,7,4,3,8,3,1
No,Travel_Frequently,36-40,Current Employees,Sales,Other,E0289,289,Female,Sales Executive,Divorced,Yes,Yes,3,35,No,1477,2,5,1,1,47,1,1,1,6769,21207,4,8,4,1,80,3,17,4,2,1,2,4
No,Travel_Rarely,41-45,Ex-Employees,Sales,Life Sciences,E0290,290,Female,Research Scientist,Married,Yes,Yes,2,46,Yes,1317,11,4,1,1,33,4,4,2,3325,28444,5,13,1,4,80,0,8,1,7,5,2,1
No,Travel_Rarely,41-45,Current Employees,HR,Life Sciences,E0291,291,Female,Research Scientist,Divorced,Yes,Yes,5,31,Yes,1297,14,5,1,1,40,2,4,2,6953,28692,1,5,2,3,80,3,10,1,9,8,3,8
No,Travel_Rarely,26-30,Current Employees,HR,Other,E0292,292,Female,HR Manager,Single,Yes,Yes,5,41,No,1267,11,2,1,3,25,2,1,1,8990,28200,5,5,2,3,80,0,10,2,10,8,1,6
Yes,Travel_Rarely,26-30,Ex-Employees,Sales,Life Sciences,E0293,293,Male,Sales Executive,Divorced,Yes,Yes,1,46,No,1158,10,5,1,4,37,3,4,3,5966,24669,4,12,3,1,80,2,12,3,8,6,4,7
No,Travel_Frequently,46-50,Current Employees,Sales,Medical,E0294,294,Male,Sales Executive,Married,No,Yes,5,44,No,1180,15,1,1,4,36,4,1,2,8611,23748,4,12,3,3,80,2,4,3,7,5,5,7
Yes,Travel_Rarely,41-45,Current Employees,HR,Medical,E0295,295,Male,Sales Executive,Married,Yes,Yes,1,45,Yes,1180,3,1,1,2,44,2,3,3,9749,27309,2,13,3,2,80,0,8,2,2,4,0,7
Yes,Travel_Rarely,41-45,Ex-Employees,Sales,Life Sciences,E0296,296,Female,Research Scientist,Married,No,Yes,2,36,Yes,1068,21,3,1,2,40,1,1,4,9127,22775,1,16,4,2,80,2,4,4,8,8,1,4
Yes,Travel_Rarely,31-35,Ex-Employees,Sales,Medical,E0297,297,Male,Sales Executive,Divorced,No,Yes,5,33,Yes,1287,29,1,1,1,24,3,1,1,4661,22375,5,15,2,4,80,3,2,1,8,10,5,7
Yes,Travel_Frequently,26-30,Current Employees,R&D,Life Sciences,E0298,298,Male,Sales Executive,Single,No,Yes,2,36,No,1420,17,4,1,4,32,3,5,1,5031,27591,5,5,3,2,80,0,16,4,5,3,3,3
No,Travel_Frequently,26-30,Ex-Employees,R&D,Life Sciences,E0299,299,Male,HR Manager,Divorced,Yes,Yes,2,35,No,1406,6,2,1,3,31,4,2,3,7408,24702,1,11,2,2,80,3,20,1,6,4,4,10
No,Travel_Frequently,41-45,Ex-Employees,Sales,Medical,E0300,300,Male,HR Manager,Divorced,Yes,Yes,1,40,Yes,1358,11,1,1,1,30,2,2,4,7729,23914,2,9,4,2,80,2,9,4,10,7,2,5
No,Travel_Rarely,46-50,Ex-Employees,R&D,Medical,E0301,301,Male,Research Scientist,Married,Yes,Yes,2,45,Yes,1181,7,4,1,4,44,4,3,1,5793,25637,5,6,4,2,80,0,13,1,6,10,0,2
Yes,Travel_Frequently,41-45,Ex-Employees,R&D,Medical,E0302,302,Female,Research Scientist,Divorced,No,Yes,5,45,Yes,1287,13,5,1,1,33,1,5,4,8341,26183,4,9,4,4,80,3,14,4,1,10,5,10
No,Travel_Frequently,36-40,Ex-Employees,HR,Life Sciences,E0303,303,Female,Research Scientist,Divorced,No,Yes,5,27,No,1280,13,5,1,2,46,4,3,4,7791,24371,5,6,1,4,80,3,3,1,1,9,2,6
Yes,Travel_Rarely,26-30,Ex-Employees,Sales,Medical,E0304,304,Male,HR Manager,Married,No,Yes,1,33,Yes,1351,21,3,1,2,31,3,2,2,6077,26713,5,10,2,1,80,0,12,2,2,6,3,4
Yes,Travel_Frequently,26-30,Current Employees,Sales,Other,E0305,305,Female,Sales Executive,Married,Yes,Yes,2,48,No,1168,7,5,1,1,20,2,3,2,6196,21539,4,14,3,1,80,3,6,1,5,7,2,9
No,Travel_Rarely,31-35,Ex-Employees,R&D,Life Sciences,E0306,306,Female,Sales Executive,Single,No,Yes,2,37,No,1006,16,2,1,3,48,2,4,2,7151,21530,4,14,4,4,80,3,8,2,10,4,5,6
No,Travel_Frequently,46-50,Ex-Employees,R&D,Life Sciences,E0307,307,Female,Sales Executive,Divorced,Yes,Yes,2,27,No,1379,12,1,1,1,48,2,5,1,4069,28119,1,14,1,3,80,0,17,4,8,2,2,10
No,Travel_Frequently,31-35,Current Employees,Sales,Other,E0308,308,Male,HR Manager,Single,Yes,Yes,2,34,Yes,1321,23,4,1,4,31,4,4,2,3044,20600,2,18,3,4,80,0,20,2,4,5,4,3
No,Travel_Rarely,26-30,Ex-Employees,HR,Other,E0309,309,Female,HR Manager,Married,No,Yes,4,29,No,1241,23,3,1,3,27,2,1,3,8324,26486,2,15,1,4,80,2,4,1,1,5,3,8
No,Travel_Rarely,46-50,Current Employees,Sales,Life Sciences,E0310,310,Male,HR Manager,Divorced,No,Yes,1,32,No,1389,23,5,1,3,25,3,3,3,4968,21427,4,15,4,1,80,3,3,2,3,9,5,9
No,Travel_Frequently,41-45,Current Employees,HR,Other,E0311,311,Male,HR Manager,Single,Yes,Yes,3,34,No,1179,18,4,1,1,37,2,4,4,3428,28050,3,12,2,1,80,2,6,1,1,1,1,6
Yes,Travel_Frequently,41-45,Current Employees,Sales,Medical,E0312,312,Female,Sales Executive,Divorced,Yes,Yes,3,39,Yes,1433,3,5,1,1,39,4,3,4,4096,23229,5,14,1,2,80,1,20,4,9,5,0,10
Yes,Travel_Rarely,46-50,Current Employees,Sales,Medical,E0313,313,Male,Sales Executive,Divorced,No,Yes,4,28,Yes,1003,16,1,1,1,21,4,5,4,6918,22070,2,10,2,3,80,3,14,3,2,9,0,8
No,Travel_Frequently,36-40,Current Employees,HR,Life Sciences,E0314,314,Female,HR Manager,Married,No,Yes,2,36,No,1247,30,3,1,4,24,4,3,1,7456,26023,3,10,4,4,80,1,19,2,10,3,3,9
No,Travel_Rarely,41-45,Ex-Employees,HR,Life Sciences,E0315,315,Male,HR Manager,Divorced,No,Yes,5,46,Yes,1025,29,3,1,3,49,1,4,3,3530,21160,5,16,2,3,80,0,14,1,10,7,2,8
No,Travel_Rarely,31-35,Current Employees,HR,Medical,E0316,316,Female,Sales Executive,Single,Yes,Yes,2,44,Yes,1005,25,5,1,4,21,4,1,1,4757,24974,1,18,2,3,80,0,1,3,5,3,4,3
No,Travel_Rarely,41-45,Current Employees,HR,Life Sciences,E0317,317,Female,Research Scientist,Married,Yes,Yes,2,32,No,1226,23,4,1,4,21,4,1,1,9634,25744,1,19,1,4,80,3,19,1,6,8,3,3
No,Travel_Frequently,41-45,Ex-Employees,HR,Medical,E0318,318,Male,Research Scientist,Divorced,No,Yes,3,50,No,1382,20,3,1,1,26,3,1,4,7902,28873,5,8,1,3,80,0,1,1,2,5,3,3
No,Travel_Frequently,36-40,Ex-Employees,HR,Other,E0319,319,Female,HR Manager,Single,Yes,Yes,4,35,No,1288,12,1,1,3,50,3,4,2,6610,22771,2,12,4,2,80,1,4,2,1,9,3,3
No,Travel_Frequently,41-45,Current Employees,HR,Other,E0320,320,Female,HR Manager,Divorced,No,Yes,1,46,Yes,1238,14,5,1,3,26,2,3,4,7690,21046,2,15,1,4,80,3,17,3,8,10,1,2
No,Travel_Frequently,31-35,Ex-Employees,R&D,Other,E0321,321,Male,Research Scientist,Divorced,Yes,Yes,2,37,Yes,1267,10,4,1,3,47,4,1,3,4162,29961,2,19,1,4,80,0,4,1,1,10,4,9
No,Travel_Frequently,31-35,Ex-Employees,Sales,Life Sciences,E0322,322,Male,HR Manager,Single,No,Yes,1,28,Yes,1332,30,3,1,3,34,3,1,3,6289,24679,1,14,2,2,80,3,18,4,3,4,5,8
No,Travel_Rarely,31-35,Current Employees,HR,Other,E0323,323,Male,Research Scientist,Single,No,Yes,1,33,No,1215,11,4,1,2,21,3,4,4,7919,24160,2,20,4,1,80,3,4,2,4,1,0,4
Yes,Travel_Frequently,26-30,Current Employees,R&D,Medical,E0324,324,Female,Sales Executive,Married,No,Yes,4,42,Yes,1453,8,5,1,3,46,1,1,4,9366,26385,5,20,2,3,80,3,4,2,4,6,0,10
Yes,Travel_Rarely,41-45,Ex-Employees,Sales,Medical,E0325,325,Female,Sales Executive,Married,No,Yes,5,46,Yes,1134,17,5,1,1,23,1,3,3,7834,24668,5,10,1,1,80,1,9,1,7,10,3,5
Yes,Travel_Rarely,41-45,Ex-Employees,Sales,Medical,E0326,326,Female,HR Manager,Divorced,Yes,Yes,2,46,Yes,1335,6,5,1,4,43,2,1,2,9425,22854,1,10,3,1,80,1,1,4,2,5,5,2
Yes,Travel_Frequently,46-50,Ex-Employees,Sales,Medical,E0327,327,Female,Research Scientist,Married,No,Yes,3,38,No,1185,19,1,1,4,40,3,4,2,4398,24456,5,18,2,2,80,1,11,4,7,2,1,8
No,Travel_Rarely,36-40,Current Employees,R&D,Medical,E0328,328,Male,HR Manager,Divorced,Yes,Yes,3,28,Yes,1315,22,1,1,1,23,4,2,3,6078,24312,4,15,2,2,80,2,16,3,9,4,0,7
No,Travel_Frequently,26-30,Current Employees,R&D,Other,E0329,329,Female,HR Manager,Married,Yes,Yes,3,48,No,1498,29,3,1,4,42,2,5,1,9759,20522,4,15,4,1,80,1,18,3,3,1,0,5
No,Travel_Rarely,41-45,Ex-Employees,Sales,Medical,E0330,330,Female,Sales Executive,Divorced,Yes,Yes,1,30,Yes,1455,8,3,1,1,25,3,5,3,9383,25227,4,18,1,4,80,2,4,1,6,1,3,8
Yes,Travel_Rarely,31-35,Ex-Employees,R&D,Other,E0331,331,Female,Research Scientist,Married,No,Yes,5,34,Yes,1170,22,4,1,4,33,4,3,2,3290,20201,1,15,4,1,80,1,18,4,8,5,4,8
No,Travel_Rarely,26-30,Ex-Employees,R&D,Medical,E0332,332,Male,Research Scientist,Married,Yes,Yes,5,42,No,1135,1,2,1,3,39,4,1,3,4603,28890,5,17,4,3,80,0,15,1,4,10,2,4
No,Travel_Frequently,26-30,Current Employees,HR,Life Sciences,E0333,333,Male,HR Manager,Divorced,No,Yes,4,46,Yes,1056,30,3,1,1,35,2,2,4,4552,20789,2,12,1,2,80,2,18,1,8,1,5,3
No,Travel_Frequently,31-35,Current Employees,R&D,Other,E0334,334,Male,Sales Executive,Single,No,Yes,1,41,Yes,1262,1,1,1,4,25,1,2,2,4940,20272,2,14,3,1,80,1,12,1,8,1,3,5
No,Travel_Frequently,46-50,Current Employees,Sales,Life Sciences,E0335,335,Female,Research Scientist,Married,Yes,Yes,5,27,Yes,1413,3,1,1,3,40,4,5,4,8537,29261,2,12,3,1,80,3,2,4,6,9,4,8
No,Travel_Frequently,41-45,Current Employees,Sales,Other,E0336,336,Female,Research Scientist,Divorced,Yes,Yes,3,32,Yes,1174,19,2,1,1,37,1,5,3,8579,21651,3,20,1,2,80,1,14,2,7,7,0,9
No,Travel_Rarely,36-40,Ex-Employees,R&D,Other,E0337,337,Male,HR Manager,Divorced,No,Yes,3,49,No,1267,12,2,1,3,26,4,3,4,3625,29094,2,15,1,4,80,1,6,3,9,7,4,8
No,Travel_Frequently,46-50,Ex-Employees,R&D,Life Sciences,E0338,338,Male,Sales Executive,Divorced,Yes,Yes,3,32,No,1099,6,2,1,2,39,2,4,4,8849,28436,3,7,4,3,80,2,9,4,5,4,3,6
Yes,Travel_Frequently,36-40,Current Employees,Sales,Medical,E0339,339,Male,Research Scientist,Single,Yes,Yes,5,30,Yes,1257,29,1,1,2,44,3,2,3,3103,20067,2,10,1,2,80,3,4,4,3,1,4,9
Yes,Travel_Rarely,36-40,Current Employees,Sales,Medical,E0340,340,Male,Sales Executive,Single,Yes,Yes,3,27,No,1044,30,4,1,4,42,2,3,3,9931,23323,5,15,1,4,80,1,11,2,8,1,3,10
Yes,Travel_Rarely,41-45,Ex-Employees,R&D,Medical,E0341,341,Male,HR Manager,Married,Yes,Yes,5,46,Yes,1190,7,1,1,4,45,2,4,3,8350,29878,5,14,2,4,80,1,11,2,4,6,3,3
Yes,Travel_Frequently,26-30,Ex-Employees,R&D,Medical,E0342,342,Male,HR Manager,Divorced,No,Yes,5,41,No,1274,5,4,1,2,37,4,5,4,5012,26237,3,17,1,2,80,0,10,3,7,5,3,7
No,Travel_Rarely,31-35,Ex-Employees,HR,Other,E0343,343,Male,Research Scientist,Single,Yes,Yes,2,50,Yes,1175,10,3,1,3,47,2,2,1,7790,21969,5,17,4,1,80,3,17,2,2,7,5,5
No,Travel_Frequently,36-40,Current Employees,Sales,Medical,E0344,344,Female,Sales Executive,Single,Yes,Yes,3,37,No,1486,8,1,1,4,50,1,5,1,6486,27512,4,18,1,1,80,0,16,4,4,2,0,5
Yes,Travel_Rarely,46-50,Ex-Employees,R&D,Other,E0345,345,Female,Research Scientist,Single,Yes,Yes,5,41,No,1268,19,2,1,2,24,2,1,1,8172,23366,5,14,4,3,80,3,16,2,5,7,5,8
No,Travel_Frequently,41-45,Ex-Employees,R&D,Other,E0346,346,Female,Research Scientist,Single,No,Yes,5,36,Yes,1354,13,4,1,2,31,3,5,4,7299,29291,3,20,1,2,80,0,8,4,5,3,3,1
Yes,Travel_Rarely,41-45,Ex-Employees,R&D,Other,E0347,347,Female,Sales Executive,Divorced,Yes,Yes,3,47,Yes,1054,14,2,1,2,37,1,4,3,8452,20702,5,20,2,4,80,2,12,4,10,5,2,2
Yes,Travel_Frequently,46-50,Ex-Employees,Sales,Life Sciences,E0348,348,Female,HR Manager,Married,No,Yes,3,37,Yes,1441,14,2,1,1,33,4,1,1,9636,20618,5,12,3,1,80,0,16,3,2,9,1,1
No,Travel_Rarely,36-40,Ex-Employees,HR,Life Sciences,E0349,349,Male,Sales Executive,Single,No,Yes,3,44,No,1448,26,1,1,4,42,2,5,1,7986,24003,3,5,2,1,80,0,10,4,6,10,3,3
Yes,Travel_Frequently,36-40,Current Employees,R&D,Medical,E0350,350,Female,Sales Executive,Married,No,Yes,4,36,No,1283,8,5,1,4,29,4,4,2,8664,27097,1,17,2,1,80,2,13,3,5,7,1,8
No,Travel_Frequently,36-40,Current Employees,HR,Other,E0351,351,Male,Research Scientist,Single,Yes,Yes,3,38,Yes,1314,3,2,1,4,26,2,1,2,7396,25771,3,20,2,2,80,2,11,3,10,9,1,9
Yes,Travel_Frequently,46-50,Current Employees,Sales,Medical,E0352,352,Female,HR Manager,Single,No,Yes,2,42,No,1391,16,5,1,3,32,4,1,3,7399,26153,5,16,2,4,80,2,12,2,5,1,1,9
No,Travel_Frequently,36-40,Current Employees,HR,Life Sciences,E0353,353,Female,HR Manager,Married,No,Yes,1,48,No,1170,10,1,1,4,47,4,2,1,9190,29081,1,9,3,2,80,3,12,3,4,8,2,10
Yes,Travel_Frequently,46-50,Current Employees,HR,Life Sciences,E0354,354,Male,Research Scientist,Married,No,Yes,5,48,No,1483,14,4,1,4,41,4,4,3,8329,20682,3,18,2,4,80,2,15,3,7,7,2,10
Yes,Travel_Frequently,41-45,Ex-Employees,HR,Life Sciences,E0355,355,Female,Research Scientist,Divorced,Yes,Yes,3,44,Yes,1464,21,5,1,3,26,1,4,2,8966,25206,2,14,1,1,80,2,12,4,2,7,2,9
Yes,Travel_Rarely,46-50,Ex-Employees,Sales,Other,E0356,356,Male,HR Manager,Divorced,Yes,Yes,4,28,Yes,1114,12,4,1,1,32,2,5,2,9511,29510,4,11,2,4,80,2,14,2,7,6,1,8
Yes,Travel_Frequently,31-35,Ex-Employees,Sales,Life Sciences,E0357,357,Female,Research Scientist,Divorced,No,Yes,5,37,Yes,1071,25,5,1,3,50,1,2,1,4347,29505,3,17,4,2,80,0,20,4,9,3,4,4
No,Travel_Rarely,26-30,Ex-Employees,R&D,Life Sciences,E0358,358,Male,Sales Executive,Divorced,Yes,Yes,5,32,Yes,1431,16,2,1,1,40,1,5,4,6185,29251,5,9,4,2,80,3,5,1,9,9,5,6
